"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 04 02:43:58 UTC 2023","Mon Dec 04 02:44:12 UTC 2023","14309","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Mon Dec 04 02:38:12 UTC 2023","Mon Dec 04 02:38:13 UTC 2023","590","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Mon Dec 04 03:41:08 UTC 2023","Mon Dec 04 03:45:20 UTC 2023","252256","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Mon Dec 04 03:31:27 UTC 2023","Mon Dec 04 03:31:28 UTC 2023","1798","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Mon Dec 04 02:29:11 UTC 2023","Mon Dec 04 02:29:36 UTC 2023","25197","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Mon Dec 04 02:47:13 UTC 2023","Mon Dec 04 02:48:09 UTC 2023","55599","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Mon Dec 04 03:47:29 UTC 2023","Mon Dec 04 03:47:42 UTC 2023","13373","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Mon Dec 04 02:44:12 UTC 2023","Mon Dec 04 02:44:20 UTC 2023","8026","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Mon Dec 04 03:23:40 UTC 2023","Mon Dec 04 03:24:01 UTC 2023","20998","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Mon Dec 04 03:37:12 UTC 2023","Mon Dec 04 03:37:26 UTC 2023","13646","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Mon Dec 04 03:20:25 UTC 2023","Mon Dec 04 03:20:25 UTC 2023","309","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Mon Dec 04 02:30:36 UTC 2023","Mon Dec 04 02:30:59 UTC 2023","23896","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Mon Dec 04 03:53:45 UTC 2023","Mon Dec 04 03:53:59 UTC 2023","14558","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Mon Dec 04 03:57:06 UTC 2023","Mon Dec 04 03:57:47 UTC 2023","41222","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Mon Dec 04 02:32:08 UTC 2023","Mon Dec 04 02:32:25 UTC 2023","17312","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Mon Dec 04 03:47:42 UTC 2023","Mon Dec 04 03:47:52 UTC 2023","9554","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Mon Dec 04 02:41:58 UTC 2023","Mon Dec 04 02:42:10 UTC 2023","11615","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Mon Dec 04 02:53:32 UTC 2023","Mon Dec 04 02:53:43 UTC 2023","10774","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Mon Dec 04 02:58:38 UTC 2023","Mon Dec 04 02:58:56 UTC 2023","17696","","9. Client Portal - Home","","","","1. Check links",""
"passed","Mon Dec 04 02:50:24 UTC 2023","Mon Dec 04 02:50:32 UTC 2023","8064","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Mon Dec 04 02:55:55 UTC 2023","Mon Dec 04 02:57:05 UTC 2023","69572","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Mon Dec 04 03:56:59 UTC 2023","Mon Dec 04 03:57:04 UTC 2023","4585","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Mon Dec 04 03:47:54 UTC 2023","Mon Dec 04 03:47:59 UTC 2023","4228","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Mon Dec 04 02:30:25 UTC 2023","Mon Dec 04 02:30:35 UTC 2023","10348","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Mon Dec 04 03:40:53 UTC 2023","Mon Dec 04 03:41:08 UTC 2023","14792","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Mon Dec 04 02:37:58 UTC 2023","Mon Dec 04 02:38:01 UTC 2023","2980","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Mon Dec 04 03:54:55 UTC 2023","Mon Dec 04 03:54:59 UTC 2023","3662","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Mon Dec 04 02:28:47 UTC 2023","Mon Dec 04 02:29:11 UTC 2023","23727","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Mon Dec 04 02:54:11 UTC 2023","Mon Dec 04 02:54:15 UTC 2023","3946","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
